split,method,seed,episodes,sequential_success,sequential_success_ci95,immediate_success,future_success,combined_energy_mean,combined_energy_ci95,affordance_debt_mean,tail_future_debt_mean,future_support_margin_mean,balance_failure_rate,unique_first_postures
combined_shift,arm_only_reach,0,24,0.6250,0.1979,0.7500,0.8333,0.3499,0.0455,0.0000,0.0691,0.0822,0.0000,1
combined_shift,arm_only_reach,1,24,0.6667,0.1927,0.7500,0.9167,0.3333,0.0444,0.0000,0.0731,0.0862,0.0000,1
combined_shift,arm_only_reach,2,24,0.6250,0.1979,0.8333,0.7917,0.3245,0.0462,0.0000,0.0640,0.0867,0.0000,1
combined_shift,arm_only_reach,3,24,0.8750,0.1352,0.9583,0.9167,0.3150,0.0414,0.0000,0.0685,0.0800,0.0000,1
combined_shift,arm_only_reach,4,24,0.7500,0.1770,0.8333,0.9167,0.3018,0.0418,0.0000,0.0691,0.0823,0.0000,1
combined_shift,arm_only_reach,5,24,0.5417,0.2036,0.7500,0.7500,0.3498,0.0482,0.0000,0.0750,0.0742,0.0000,1
combined_shift,arm_only_reach,6,24,0.7500,0.1770,0.9167,0.8333,0.2977,0.0353,0.0000,0.0699,0.0857,0.0000,1
combined_shift,arm_only_reach,7,24,0.7500,0.1770,0.8750,0.8750,0.3495,0.0340,0.0000,0.0663,0.0854,0.0000,1
combined_shift,bar_mpc_no_online,0,24,0.6667,0.1927,0.8333,0.8333,0.3190,0.0419,0.0536,0.0713,0.0723,0.0000,8
combined_shift,bar_mpc_no_online,1,24,0.7500,0.1770,0.8750,0.8750,0.3092,0.0392,0.0557,0.0752,0.0769,0.0000,8
combined_shift,bar_mpc_no_online,2,24,0.6667,0.1927,0.9583,0.7083,0.3002,0.0446,0.0496,0.0652,0.0740,0.0000,8
combined_shift,bar_mpc_no_online,3,24,0.8750,0.1352,0.9583,0.8750,0.2925,0.0407,0.0529,0.0704,0.0709,0.0000,9
combined_shift,bar_mpc_no_online,4,24,0.9167,0.1130,0.9583,0.9167,0.2854,0.0418,0.0533,0.0711,0.0783,0.0000,9
combined_shift,bar_mpc_no_online,5,24,0.7083,0.1858,0.8750,0.8333,0.3139,0.0408,0.0553,0.0760,0.0607,0.0000,10
combined_shift,bar_mpc_no_online,6,24,0.8333,0.1523,0.9583,0.8750,0.2744,0.0299,0.0527,0.0708,0.0788,0.0000,6
combined_shift,bar_mpc_no_online,7,24,0.8333,0.1523,0.9583,0.8750,0.3258,0.0334,0.0518,0.0683,0.0779,0.0000,7
combined_shift,bar_mpc_v5,0,24,0.6667,0.1927,0.8333,0.8333,0.3190,0.0419,0.0536,0.0713,0.0723,0.0000,8
combined_shift,bar_mpc_v5,1,24,0.7500,0.1770,0.8750,0.8750,0.3092,0.0392,0.0557,0.0752,0.0769,0.0000,8
combined_shift,bar_mpc_v5,2,24,0.6667,0.1927,0.9583,0.7083,0.3002,0.0446,0.0496,0.0652,0.0740,0.0000,8
combined_shift,bar_mpc_v5,3,24,0.8750,0.1352,0.9583,0.8750,0.2925,0.0407,0.0529,0.0704,0.0709,0.0000,9
combined_shift,bar_mpc_v5,4,24,0.9167,0.1130,0.9583,0.9167,0.2854,0.0418,0.0533,0.0711,0.0783,0.0000,9
combined_shift,bar_mpc_v5,5,24,0.7083,0.1858,0.8750,0.8333,0.3139,0.0408,0.0553,0.0760,0.0607,0.0000,10
combined_shift,bar_mpc_v5,6,24,0.8333,0.1523,0.9583,0.8750,0.2744,0.0299,0.0527,0.0708,0.0788,0.0000,6
combined_shift,bar_mpc_v5,7,24,0.8333,0.1523,0.9583,0.8750,0.3258,0.0334,0.0518,0.0683,0.0779,0.0000,7
combined_shift,comfort_regularized_mpc,0,24,0.6667,0.1927,0.8333,0.8333,0.3185,0.0416,0.0000,0.0714,0.0718,0.0000,8
combined_shift,comfort_regularized_mpc,1,24,0.7500,0.1770,0.8750,0.8750,0.3095,0.0392,0.0000,0.0752,0.0762,0.0000,8
combined_shift,comfort_regularized_mpc,2,24,0.6667,0.1927,0.9583,0.7083,0.3005,0.0445,0.0000,0.0653,0.0727,0.0000,9
combined_shift,comfort_regularized_mpc,3,24,0.8333,0.1523,0.9583,0.8333,0.2934,0.0406,0.0000,0.0705,0.0702,0.0000,8
combined_shift,comfort_regularized_mpc,4,24,0.9167,0.1130,0.9583,0.9167,0.2834,0.0423,0.0000,0.0717,0.0753,0.0000,9
combined_shift,comfort_regularized_mpc,5,24,0.7500,0.1770,0.9167,0.8333,0.3129,0.0403,0.0000,0.0761,0.0593,0.0000,9
combined_shift,comfort_regularized_mpc,6,24,0.8333,0.1523,0.9583,0.8750,0.2755,0.0303,0.0000,0.0710,0.0782,0.0000,7
combined_shift,comfort_regularized_mpc,7,24,0.8333,0.1523,0.9583,0.8750,0.3268,0.0337,0.0000,0.0685,0.0769,0.0000,6
combined_shift,current_target_only_greedy,0,24,0.6667,0.1927,0.8333,0.8333,0.3186,0.0415,0.0000,0.0715,0.0718,0.0000,8
combined_shift,current_target_only_greedy,1,24,0.7500,0.1770,0.8750,0.8750,0.3090,0.0394,0.0000,0.0754,0.0749,0.0000,7
combined_shift,current_target_only_greedy,2,24,0.6667,0.1927,0.9583,0.7083,0.3005,0.0446,0.0000,0.0655,0.0714,0.0000,8
combined_shift,current_target_only_greedy,3,24,0.8333,0.1523,0.9583,0.8333,0.2940,0.0412,0.0000,0.0706,0.0679,0.0000,7
combined_shift,current_target_only_greedy,4,24,0.9167,0.1130,0.9583,0.9167,0.2846,0.0417,0.0000,0.0718,0.0749,0.0000,10
combined_shift,current_target_only_greedy,5,24,0.7500,0.1770,0.9167,0.8333,0.3123,0.0401,0.0000,0.0761,0.0582,0.0000,9
combined_shift,current_target_only_greedy,6,24,0.8333,0.1523,0.9583,0.8750,0.2766,0.0308,0.0000,0.0710,0.0777,0.0000,7
combined_shift,current_target_only_greedy,7,24,0.8333,0.1523,0.9583,0.8750,0.3272,0.0338,0.0000,0.0686,0.0760,0.0000,6
combined_shift,future_distribution_mpc,0,24,0.6667,0.1927,0.8333,0.8333,0.3185,0.0416,0.0536,0.0714,0.0718,0.0000,8
combined_shift,future_distribution_mpc,1,24,0.7500,0.1770,0.8750,0.8750,0.3095,0.0392,0.0559,0.0752,0.0762,0.0000,8
combined_shift,future_distribution_mpc,2,24,0.6667,0.1927,0.9583,0.7083,0.3005,0.0445,0.0498,0.0653,0.0727,0.0000,9
combined_shift,future_distribution_mpc,3,24,0.8333,0.1523,0.9583,0.8333,0.2926,0.0405,0.0530,0.0704,0.0697,0.0000,9
combined_shift,future_distribution_mpc,4,24,0.9167,0.1130,0.9583,0.9167,0.2849,0.0420,0.0533,0.0711,0.0780,0.0000,10
combined_shift,future_distribution_mpc,5,24,0.7500,0.1770,0.9167,0.8333,0.3142,0.0407,0.0554,0.0760,0.0596,0.0000,8
combined_shift,future_distribution_mpc,6,24,0.8333,0.1523,0.9583,0.8750,0.2750,0.0304,0.0528,0.0709,0.0787,0.0000,7
combined_shift,future_distribution_mpc,7,24,0.8333,0.1523,0.9583,0.8750,0.3267,0.0338,0.0519,0.0683,0.0770,0.0000,7
combined_shift,greedy_reach_mpc,0,24,0.6667,0.1927,0.8333,0.8333,0.3186,0.0415,0.0000,0.0715,0.0718,0.0000,8
combined_shift,greedy_reach_mpc,1,24,0.7500,0.1770,0.8750,0.8750,0.3090,0.0394,0.0000,0.0754,0.0749,0.0000,7
combined_shift,greedy_reach_mpc,2,24,0.6667,0.1927,0.9583,0.7083,0.3005,0.0446,0.0000,0.0655,0.0714,0.0000,8
combined_shift,greedy_reach_mpc,3,24,0.8333,0.1523,0.9583,0.8333,0.2940,0.0412,0.0000,0.0706,0.0679,0.0000,7
combined_shift,greedy_reach_mpc,4,24,0.9167,0.1130,0.9583,0.9167,0.2846,0.0417,0.0000,0.0718,0.0749,0.0000,10
combined_shift,greedy_reach_mpc,5,24,0.7500,0.1770,0.9167,0.8333,0.3123,0.0401,0.0000,0.0761,0.0582,0.0000,9
combined_shift,greedy_reach_mpc,6,24,0.8333,0.1523,0.9583,0.8750,0.2766,0.0308,0.0000,0.0710,0.0777,0.0000,7
combined_shift,greedy_reach_mpc,7,24,0.8333,0.1523,0.9583,0.8750,0.3272,0.0338,0.0000,0.0686,0.0760,0.0000,6
combined_shift,learned_linear_debt_proxy,0,24,0.6667,0.1927,0.8333,0.8333,0.3189,0.0413,0.0528,0.0711,0.0735,0.0000,10
combined_shift,learned_linear_debt_proxy,1,24,0.7500,0.1770,0.8750,0.8750,0.3061,0.0396,0.0541,0.0750,0.0775,0.0000,11
combined_shift,learned_linear_debt_proxy,2,24,0.7083,0.1858,0.9583,0.7500,0.3040,0.0454,0.0491,0.0654,0.0784,0.0000,8
combined_shift,learned_linear_debt_proxy,3,24,0.8750,0.1352,0.9583,0.9167,0.2920,0.0407,0.0513,0.0700,0.0703,0.0000,11
combined_shift,learned_linear_debt_proxy,4,24,0.8750,0.1352,0.9583,0.8750,0.2877,0.0428,0.0518,0.0709,0.0807,0.0000,9
combined_shift,learned_linear_debt_proxy,5,24,0.7083,0.1858,0.8750,0.8333,0.3147,0.0401,0.0536,0.0758,0.0616,0.0000,11
combined_shift,learned_linear_debt_proxy,6,24,0.8333,0.1523,0.9583,0.8750,0.2722,0.0306,0.0516,0.0708,0.0787,0.0000,9
