split,method,seed,episodes,sequential_success,sequential_success_ci95,immediate_success,future_success,combined_energy_mean,combined_energy_ci95,affordance_debt_mean,tail_future_debt_mean,future_support_margin_mean,balance_failure_rate,unique_first_postures
combined_shift,learned_linear_debt_proxy,7,24,0.8333,0.1523,0.9583,0.8750,0.3233,0.0329,0.0506,0.0679,0.0807,0.0000,9
combined_shift,oracle_two_step_mpc,0,24,0.7500,0.1770,0.8333,0.9167,0.3140,0.0419,0.0000,0.0714,0.0680,0.0000,8
combined_shift,oracle_two_step_mpc,1,24,0.7917,0.1660,0.8750,0.9167,0.3026,0.0398,0.0000,0.0753,0.0729,0.0000,7
combined_shift,oracle_two_step_mpc,2,24,0.7917,0.1660,0.9583,0.8333,0.2958,0.0441,0.0000,0.0652,0.0737,0.0000,9
combined_shift,oracle_two_step_mpc,3,24,0.8750,0.1352,0.9583,0.8750,0.2841,0.0409,0.0000,0.0702,0.0616,0.0000,8
combined_shift,oracle_two_step_mpc,4,24,0.8750,0.1352,0.9167,0.9583,0.2756,0.0412,0.0000,0.0716,0.0693,0.0000,7
combined_shift,oracle_two_step_mpc,5,24,0.7500,0.1770,0.9167,0.8333,0.3033,0.0399,0.0000,0.0764,0.0480,0.0000,7
combined_shift,oracle_two_step_mpc,6,24,0.8750,0.1352,0.9583,0.9167,0.2676,0.0299,0.0000,0.0717,0.0732,0.0000,9
combined_shift,oracle_two_step_mpc,7,24,0.7917,0.1660,0.9167,0.8750,0.3160,0.0323,0.0000,0.0689,0.0666,0.0000,7
combined_shift,random_posture,0,24,0.4583,0.2036,0.5417,0.9167,0.4346,0.0684,0.0000,0.0681,0.0741,0.0000,13
combined_shift,random_posture,1,24,0.5417,0.2036,0.5833,0.9167,0.3912,0.0664,0.0000,0.0725,0.0809,0.0000,13
combined_shift,random_posture,2,24,0.6667,0.1927,0.7917,0.8750,0.3704,0.0602,0.0000,0.0659,0.0777,0.0000,14
combined_shift,random_posture,3,24,0.6250,0.1979,0.7500,0.8750,0.3719,0.0610,0.0000,0.0674,0.0776,0.0000,13
combined_shift,random_posture,4,24,0.6250,0.1979,0.7500,0.8750,0.3922,0.0847,0.0000,0.0691,0.0752,0.0000,13
combined_shift,random_posture,5,24,0.5833,0.2015,0.7500,0.8333,0.4307,0.0912,0.0000,0.0778,0.0616,0.0000,13
combined_shift,random_posture,6,24,0.7083,0.1858,0.7917,0.9167,0.3540,0.0644,0.0000,0.0701,0.0807,0.0000,13
combined_shift,random_posture,7,24,0.5000,0.2043,0.5000,0.8750,0.5120,0.1020,0.0000,0.0675,0.0825,0.0000,13
combined_shift,robust_balance_mpc,0,24,0.6667,0.1927,0.8333,0.8333,0.3190,0.0419,0.0000,0.0713,0.0723,0.0000,8
combined_shift,robust_balance_mpc,1,24,0.7500,0.1770,0.8750,0.8750,0.3081,0.0396,0.0000,0.0753,0.0761,0.0000,8
combined_shift,robust_balance_mpc,2,24,0.6667,0.1927,0.9583,0.7083,0.3005,0.0447,0.0000,0.0653,0.0737,0.0000,8
combined_shift,robust_balance_mpc,3,24,0.8333,0.1523,0.9583,0.8333,0.2923,0.0415,0.0000,0.0706,0.0694,0.0000,7
combined_shift,robust_balance_mpc,4,24,0.9167,0.1130,0.9583,0.9167,0.2834,0.0420,0.0000,0.0716,0.0759,0.0000,9
combined_shift,robust_balance_mpc,5,24,0.7083,0.1858,0.8750,0.8333,0.3135,0.0410,0.0000,0.0761,0.0609,0.0000,10
combined_shift,robust_balance_mpc,6,24,0.8333,0.1523,0.9583,0.8750,0.2744,0.0299,0.0000,0.0708,0.0788,0.0000,6
combined_shift,robust_balance_mpc,7,24,0.8333,0.1523,0.9583,0.8750,0.3258,0.0334,0.0000,0.0684,0.0771,0.0000,6
high_lateral_payload,arm_only_reach,0,24,0.0417,0.0817,0.2083,0.3333,0.6023,0.0352,0.0000,0.1491,0.0690,0.0000,1
high_lateral_payload,arm_only_reach,1,24,0.1250,0.1352,0.1667,0.5417,0.5591,0.0547,0.0000,0.1394,0.0686,0.0000,1
high_lateral_payload,arm_only_reach,2,24,0.1667,0.1523,0.4167,0.3750,0.5375,0.0358,0.0000,0.1429,0.0663,0.0000,1
high_lateral_payload,arm_only_reach,3,24,0.0417,0.0817,0.1667,0.5417,0.5744,0.0368,0.0000,0.1470,0.0663,0.0000,1
high_lateral_payload,arm_only_reach,4,24,0.0000,0.0000,0.3750,0.2917,0.5584,0.0277,0.0000,0.1373,0.0677,0.0000,1
high_lateral_payload,arm_only_reach,5,24,0.0833,0.1130,0.3750,0.4167,0.5545,0.0431,0.0000,0.1402,0.0676,0.0000,1
high_lateral_payload,arm_only_reach,6,24,0.0833,0.1130,0.2500,0.5000,0.5670,0.0457,0.0000,0.1409,0.0677,0.0000,1
high_lateral_payload,arm_only_reach,7,24,0.0417,0.0817,0.2083,0.3333,0.6000,0.0414,0.0000,0.1403,0.0677,0.0000,1
high_lateral_payload,bar_mpc_no_online,0,24,0.0417,0.0817,0.5000,0.1667,0.5933,0.0359,0.1194,0.1542,0.0426,0.0000,2
high_lateral_payload,bar_mpc_no_online,1,24,0.2500,0.1770,0.3333,0.3333,0.5506,0.0534,0.1127,0.1447,0.0428,0.0000,2
high_lateral_payload,bar_mpc_no_online,2,24,0.0833,0.1130,0.7917,0.1250,0.5280,0.0346,0.1146,0.1483,0.0423,0.0000,2
high_lateral_payload,bar_mpc_no_online,3,24,0.1250,0.1352,0.3750,0.2917,0.5594,0.0379,0.1190,0.1517,0.0421,0.0000,2
high_lateral_payload,bar_mpc_no_online,4,24,0.0417,0.0817,0.5417,0.2500,0.5481,0.0272,0.1146,0.1421,0.0450,0.0000,2
high_lateral_payload,bar_mpc_no_online,5,24,0.1250,0.1352,0.6250,0.2083,0.5469,0.0447,0.1160,0.1450,0.0433,0.0000,2
high_lateral_payload,bar_mpc_no_online,6,24,0.1250,0.1352,0.5417,0.2917,0.5553,0.0458,0.1150,0.1460,0.0445,0.0000,2
high_lateral_payload,bar_mpc_no_online,7,24,0.0417,0.0817,0.4167,0.0833,0.5872,0.0440,0.1135,0.1452,0.0397,0.0000,3
high_lateral_payload,bar_mpc_v5,0,24,0.0417,0.0817,0.5000,0.1667,0.5933,0.0359,0.1194,0.1542,0.0426,0.0000,2
high_lateral_payload,bar_mpc_v5,1,24,0.2500,0.1770,0.3333,0.3333,0.5506,0.0534,0.1127,0.1447,0.0428,0.0000,2
high_lateral_payload,bar_mpc_v5,2,24,0.0833,0.1130,0.7917,0.1250,0.5280,0.0346,0.1146,0.1483,0.0423,0.0000,2
high_lateral_payload,bar_mpc_v5,3,24,0.1250,0.1352,0.3750,0.2917,0.5594,0.0379,0.1190,0.1517,0.0421,0.0000,2
high_lateral_payload,bar_mpc_v5,4,24,0.0417,0.0817,0.5417,0.2500,0.5481,0.0272,0.1146,0.1421,0.0450,0.0000,2
high_lateral_payload,bar_mpc_v5,5,24,0.1250,0.1352,0.6250,0.2083,0.5469,0.0447,0.1160,0.1450,0.0433,0.0000,2
high_lateral_payload,bar_mpc_v5,6,24,0.1250,0.1352,0.5417,0.2917,0.5553,0.0458,0.1150,0.1460,0.0445,0.0000,2
high_lateral_payload,bar_mpc_v5,7,24,0.0417,0.0817,0.4167,0.0833,0.5872,0.0440,0.1135,0.1452,0.0397,0.0000,3
high_lateral_payload,comfort_regularized_mpc,0,24,0.0417,0.0817,0.5000,0.1667,0.5947,0.0362,0.0000,0.1543,0.0402,0.0000,2
high_lateral_payload,comfort_regularized_mpc,1,24,0.2500,0.1770,0.3750,0.2917,0.5525,0.0531,0.0000,0.1447,0.0389,0.0000,2
high_lateral_payload,comfort_regularized_mpc,2,24,0.0833,0.1130,0.8333,0.1250,0.5302,0.0346,0.0000,0.1486,0.0362,0.0000,2
high_lateral_payload,comfort_regularized_mpc,3,24,0.0833,0.1130,0.3750,0.2500,0.5598,0.0375,0.0000,0.1517,0.0377,0.0000,2
high_lateral_payload,comfort_regularized_mpc,4,24,0.0417,0.0817,0.5417,0.2083,0.5508,0.0270,0.0000,0.1422,0.0387,0.0000,2
high_lateral_payload,comfort_regularized_mpc,5,24,0.1250,0.1352,0.6250,0.2083,0.5494,0.0445,0.0000,0.1451,0.0380,0.0000,1
high_lateral_payload,comfort_regularized_mpc,6,24,0.1250,0.1352,0.5833,0.2917,0.5566,0.0464,0.0000,0.1462,0.0379,0.0000,2
high_lateral_payload,comfort_regularized_mpc,7,24,0.0833,0.1130,0.4583,0.0833,0.5885,0.0443,0.0000,0.1452,0.0360,0.0000,2
high_lateral_payload,current_target_only_greedy,0,24,0.0417,0.0817,0.5000,0.1667,0.5963,0.0361,0.0000,0.1543,0.0371,0.0000,1
high_lateral_payload,current_target_only_greedy,1,24,0.2500,0.1770,0.3750,0.2917,0.5525,0.0531,0.0000,0.1447,0.0389,0.0000,2
high_lateral_payload,current_target_only_greedy,2,24,0.0833,0.1130,0.8333,0.1250,0.5311,0.0341,0.0000,0.1487,0.0354,0.0000,1
high_lateral_payload,current_target_only_greedy,3,24,0.0833,0.1130,0.3750,0.2500,0.5611,0.0376,0.0000,0.1516,0.0355,0.0000,2
high_lateral_payload,current_target_only_greedy,4,24,0.0417,0.0817,0.5417,0.2083,0.5517,0.0269,0.0000,0.1422,0.0377,0.0000,2
high_lateral_payload,current_target_only_greedy,5,24,0.1250,0.1352,0.6250,0.2083,0.5494,0.0445,0.0000,0.1451,0.0380,0.0000,1
high_lateral_payload,current_target_only_greedy,6,24,0.1250,0.1352,0.5833,0.2917,0.5574,0.0467,0.0000,0.1462,0.0368,0.0000,2
high_lateral_payload,current_target_only_greedy,7,24,0.0833,0.1130,0.4583,0.0833,0.5893,0.0442,0.0000,0.1453,0.0353,0.0000,2
high_lateral_payload,future_distribution_mpc,0,24,0.0417,0.0817,0.5000,0.1667,0.5956,0.0359,0.1195,0.1543,0.0381,0.0000,2
high_lateral_payload,future_distribution_mpc,1,24,0.2500,0.1770,0.3750,0.2917,0.5525,0.0531,0.1129,0.1447,0.0389,0.0000,2
high_lateral_payload,future_distribution_mpc,2,24,0.0833,0.1130,0.8333,0.1250,0.5302,0.0346,0.1151,0.1486,0.0362,0.0000,2
high_lateral_payload,future_distribution_mpc,3,24,0.0833,0.1130,0.3750,0.2500,0.5605,0.0376,0.1191,0.1516,0.0366,0.0000,2
high_lateral_payload,future_distribution_mpc,4,24,0.0417,0.0817,0.5417,0.2083,0.5508,0.0270,0.1148,0.1422,0.0387,0.0000,2
high_lateral_payload,future_distribution_mpc,5,24,0.1250,0.1352,0.6250,0.2083,0.5494,0.0445,0.1163,0.1451,0.0380,0.0000,1
high_lateral_payload,future_distribution_mpc,6,24,0.1250,0.1352,0.5833,0.2917,0.5566,0.0464,0.1152,0.1462,0.0379,0.0000,2
high_lateral_payload,future_distribution_mpc,7,24,0.0833,0.1130,0.4583,0.0833,0.5885,0.0443,0.1137,0.1452,0.0360,0.0000,2
high_lateral_payload,greedy_reach_mpc,0,24,0.0417,0.0817,0.5000,0.1667,0.5963,0.0361,0.0000,0.1543,0.0371,0.0000,1
high_lateral_payload,greedy_reach_mpc,1,24,0.2500,0.1770,0.3750,0.2917,0.5525,0.0531,0.0000,0.1447,0.0389,0.0000,2
high_lateral_payload,greedy_reach_mpc,2,24,0.0833,0.1130,0.8333,0.1250,0.5311,0.0341,0.0000,0.1487,0.0354,0.0000,1
high_lateral_payload,greedy_reach_mpc,3,24,0.0833,0.1130,0.3750,0.2500,0.5611,0.0376,0.0000,0.1516,0.0355,0.0000,2
high_lateral_payload,greedy_reach_mpc,4,24,0.0417,0.0817,0.5417,0.2083,0.5517,0.0269,0.0000,0.1422,0.0377,0.0000,2
high_lateral_payload,greedy_reach_mpc,5,24,0.1250,0.1352,0.6250,0.2083,0.5494,0.0445,0.0000,0.1451,0.0380,0.0000,1
high_lateral_payload,greedy_reach_mpc,6,24,0.1250,0.1352,0.5833,0.2917,0.5574,0.0467,0.0000,0.1462,0.0368,0.0000,2
high_lateral_payload,greedy_reach_mpc,7,24,0.0833,0.1130,0.4583,0.0833,0.5893,0.0442,0.0000,0.1453,0.0353,0.0000,2
high_lateral_payload,learned_linear_debt_proxy,0,24,0.0417,0.0817,0.5000,0.1667,0.5940,0.0361,0.1151,0.1543,0.0413,0.0000,2
high_lateral_payload,learned_linear_debt_proxy,1,24,0.2500,0.1770,0.3333,0.3333,0.5509,0.0533,0.1091,0.1447,0.0419,0.0000,2
high_lateral_payload,learned_linear_debt_proxy,2,24,0.1250,0.1352,0.7917,0.1667,0.5274,0.0350,0.1117,0.1483,0.0421,0.0000,3
high_lateral_payload,learned_linear_debt_proxy,3,24,0.1250,0.1352,0.3750,0.2917,0.5591,0.0379,0.1158,0.1517,0.0386,0.0000,2
high_lateral_payload,learned_linear_debt_proxy,4,24,0.0417,0.0817,0.5417,0.2500,0.5487,0.0273,0.1109,0.1421,0.0434,0.0000,2
high_lateral_payload,learned_linear_debt_proxy,5,24,0.1250,0.1352,0.6250,0.2083,0.5473,0.0446,0.1122,0.1450,0.0419,0.0000,2
high_lateral_payload,learned_linear_debt_proxy,6,24,0.1250,0.1352,0.5833,0.2917,0.5551,0.0458,0.1110,0.1461,0.0427,0.0000,2
high_lateral_payload,learned_linear_debt_proxy,7,24,0.0417,0.0817,0.4167,0.0833,0.5873,0.0440,0.1100,0.1452,0.0390,0.0000,3
high_lateral_payload,oracle_two_step_mpc,0,24,0.0417,0.0817,0.4167,0.2917,0.5908,0.0358,0.0000,0.1526,0.0478,0.0000,5
high_lateral_payload,oracle_two_step_mpc,1,24,0.2083,0.1660,0.2917,0.3750,0.5474,0.0541,0.0000,0.1435,0.0536,0.0000,5
high_lateral_payload,oracle_two_step_mpc,2,24,0.1667,0.1523,0.7500,0.2500,0.5254,0.0354,0.0000,0.1466,0.0434,0.0000,7
high_lateral_payload,oracle_two_step_mpc,3,24,0.1250,0.1352,0.3750,0.3750,0.5570,0.0380,0.0000,0.1511,0.0438,0.0000,4
high_lateral_payload,oracle_two_step_mpc,4,24,0.0417,0.0817,0.5000,0.3333,0.5449,0.0280,0.0000,0.1405,0.0476,0.0000,6
high_lateral_payload,oracle_two_step_mpc,5,24,0.1250,0.1352,0.5833,0.2917,0.5430,0.0441,0.0000,0.1435,0.0486,0.0000,5
high_lateral_payload,oracle_two_step_mpc,6,24,0.1250,0.1352,0.5000,0.3333,0.5532,0.0460,0.0000,0.1447,0.0449,0.0000,5
high_lateral_payload,oracle_two_step_mpc,7,24,0.0417,0.0817,0.3750,0.1250,0.5856,0.0436,0.0000,0.1443,0.0433,0.0000,4
high_lateral_payload,random_posture,0,24,0.0833,0.1130,0.2917,0.3333,0.6388,0.0607,0.0000,0.1470,0.0547,0.0000,12
high_lateral_payload,random_posture,1,24,0.1667,0.1523,0.2083,0.5833,0.5592,0.0537,0.0000,0.1396,0.0545,0.0000,8
high_lateral_payload,random_posture,2,24,0.0833,0.1130,0.2500,0.2500,0.6854,0.0862,0.0000,0.1341,0.0608,0.0000,13
high_lateral_payload,random_posture,3,24,0.0417,0.0817,0.1250,0.5417,0.6623,0.0669,0.0000,0.1403,0.0549,0.0000,12
high_lateral_payload,random_posture,4,24,0.0000,0.0000,0.2500,0.4167,0.6859,0.0782,0.0000,0.1290,0.0548,0.0000,10
high_lateral_payload,random_posture,5,24,0.0417,0.0817,0.3333,0.3750,0.6645,0.0991,0.0000,0.1338,0.0632,0.0000,12
high_lateral_payload,random_posture,6,24,0.0833,0.1130,0.2500,0.4583,0.6559,0.0764,0.0000,0.1365,0.0584,0.0000,12
high_lateral_payload,random_posture,7,24,0.0417,0.0817,0.2500,0.3333,0.6734,0.0685,0.0000,0.1360,0.0533,0.0000,14
high_lateral_payload,robust_balance_mpc,0,24,0.0417,0.0817,0.5000,0.1667,0.5931,0.0358,0.0000,0.1542,0.0433,0.0000,2
high_lateral_payload,robust_balance_mpc,1,24,0.2500,0.1770,0.3333,0.3333,0.5499,0.0536,0.0000,0.1446,0.0444,0.0000,2
high_lateral_payload,robust_balance_mpc,2,24,0.0833,0.1130,0.7500,0.1250,0.5279,0.0347,0.0000,0.1483,0.0437,0.0000,2
high_lateral_payload,robust_balance_mpc,3,24,0.1250,0.1352,0.3750,0.2917,0.5591,0.0378,0.0000,0.1517,0.0429,0.0000,2
high_lateral_payload,robust_balance_mpc,4,24,0.0417,0.0817,0.5417,0.2500,0.5482,0.0272,0.0000,0.1421,0.0459,0.0000,2
high_lateral_payload,robust_balance_mpc,5,24,0.1250,0.1352,0.6250,0.2083,0.5458,0.0444,0.0000,0.1449,0.0462,0.0000,2
high_lateral_payload,robust_balance_mpc,6,24,0.1250,0.1352,0.5000,0.2917,0.5556,0.0457,0.0000,0.1460,0.0474,0.0000,2
high_lateral_payload,robust_balance_mpc,7,24,0.0417,0.0817,0.4167,0.0833,0.5870,0.0437,0.0000,0.1451,0.0412,0.0000,3
high_reach,arm_only_reach,0,24,1.0000,0.0000,1.0000,1.0000,0.2194,0.0286,0.0000,0.0472,0.1328,0.0000,1
high_reach,arm_only_reach,1,24,0.9583,0.0817,0.9583,1.0000,0.2565,0.0270,0.0000,0.0415,0.1362,0.0000,1
high_reach,arm_only_reach,2,24,0.9583,0.0817,0.9583,1.0000,0.2389,0.0275,0.0000,0.0458,0.1380,0.0000,1
high_reach,arm_only_reach,3,24,1.0000,0.0000,1.0000,1.0000,0.2149,0.0269,0.0000,0.0440,0.1370,0.0000,1
high_reach,arm_only_reach,4,24,1.0000,0.0000,1.0000,1.0000,0.2597,0.0312,0.0000,0.0454,0.1386,0.0000,1
high_reach,arm_only_reach,5,24,1.0000,0.0000,1.0000,1.0000,0.2566,0.0234,0.0000,0.0461,0.1379,0.0000,1
high_reach,arm_only_reach,6,24,0.9167,0.1130,0.9167,1.0000,0.2342,0.0347,0.0000,0.0462,0.1369,0.0000,1
high_reach,arm_only_reach,7,24,0.9583,0.0817,0.9583,1.0000,0.2692,0.0269,0.0000,0.0448,0.1384,0.0000,1
high_reach,bar_mpc_no_online,0,24,1.0000,0.0000,1.0000,1.0000,0.1920,0.0263,0.0392,0.0509,0.1346,0.0000,7
high_reach,bar_mpc_no_online,1,24,1.0000,0.0000,1.0000,1.0000,0.2223,0.0266,0.0360,0.0468,0.1321,0.0000,5
high_reach,bar_mpc_no_online,2,24,1.0000,0.0000,1.0000,1.0000,0.1950,0.0259,0.0397,0.0518,0.1388,0.0000,6
