split,method,episodes,sequential_success,sequential_success_ci95,immediate_success,future_success,combined_energy_mean,combined_energy_ci95,affordance_debt_mean,future_support_margin_mean,balance_failure_rate
payload_shift,affordance_debt_mpc,60,0.4833,0.1275,0.7333,0.6333,0.4025,0.0295,0.0314,0.1154,0.0000
payload_shift,arm_only_reach,60,0.4500,0.1269,0.6833,0.6333,0.4062,0.0293,0.0000,0.1164,0.0000
payload_shift,comfort_regularized_mpc,60,0.4833,0.1275,0.7333,0.6333,0.4025,0.0295,0.0000,0.1154,0.0000
payload_shift,greedy_reach_mpc,60,0.4833,0.1275,0.7333,0.6333,0.4029,0.0295,0.0000,0.1146,0.0000
payload_shift,oracle_two_step_mpc,60,0.4667,0.1273,0.7167,0.6333,0.4012,0.0295,0.0000,0.1152,0.0000
payload_shift,random_posture,60,0.3000,0.1169,0.5333,0.6167,0.4482,0.0367,0.0000,0.1127,0.0000
payload_shift,robust_balance_mpc,60,0.4833,0.1275,0.7333,0.6333,0.4028,0.0294,0.0000,0.1152,0.0000
weak_actuation,affordance_debt_mpc,60,0.5000,0.1276,0.6667,0.7167,0.3880,0.0266,0.0275,0.1256,0.0000
weak_actuation,arm_only_reach,60,0.5000,0.1276,0.6667,0.7333,0.3921,0.0260,0.0000,0.1245,0.0000
weak_actuation,comfort_regularized_mpc,60,0.5000,0.1276,0.6667,0.7167,0.3882,0.0266,0.0000,0.1257,0.0000
weak_actuation,greedy_reach_mpc,60,0.5000,0.1276,0.6667,0.7167,0.3884,0.0266,0.0000,0.1254,0.0000
weak_actuation,oracle_two_step_mpc,60,0.5000,0.1276,0.6667,0.7500,0.3856,0.0266,0.0000,0.1269,0.0000
weak_actuation,random_posture,60,0.3500,0.1217,0.5333,0.7167,0.4451,0.0321,0.0000,0.1186,0.0000
weak_actuation,robust_balance_mpc,60,0.5000,0.1276,0.6667,0.7167,0.3882,0.0266,0.0000,0.1257,0.0000
