variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.5878,0.0138,0.4122,0.0138,0.0127,7,600
observed_only_behavior_clone,hidden_mode_shift,0.4086,0.0134,0.5914,0.0134,0.0134,7,600
observed_only_behavior_clone,embodiment_shift,0.4502,0.0292,0.5498,0.0292,0.0268,7,600
observed_only_behavior_clone,combined_stress,0.3293,0.0135,0.6707,0.0135,0.0142,7,600
data_augmentation_wam,nominal,0.6186,0.0135,0.3814,0.0135,0.0194,7,600
data_augmentation_wam,hidden_mode_shift,0.4852,0.0172,0.5148,0.0172,0.0152,7,600
data_augmentation_wam,embodiment_shift,0.5026,0.0200,0.4974,0.0200,0.0222,7,600
data_augmentation_wam,combined_stress,0.4312,0.0091,0.5688,0.0091,0.0175,7,600
scalar_uncertainty_planner,nominal,0.6905,0.0113,0.3095,0.0113,0.0129,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5555,0.0099,0.4445,0.0099,0.0100,7,600
scalar_uncertainty_planner,embodiment_shift,0.5829,0.0153,0.4171,0.0153,0.0129,7,600
scalar_uncertainty_planner,combined_stress,0.5000,0.0161,0.5000,0.0161,0.0161,7,600
ensemble_disagreement_planner,nominal,0.7100,0.0111,0.2900,0.0111,0.0103,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.6005,0.0099,0.3995,0.0099,0.0093,7,600
ensemble_disagreement_planner,embodiment_shift,0.6081,0.0168,0.3919,0.0168,0.0157,7,600
ensemble_disagreement_planner,combined_stress,0.5526,0.0096,0.4474,0.0096,0.0118,7,600
conformal_risk_filter,nominal,0.6943,0.0125,0.3057,0.0125,0.0178,7,600
conformal_risk_filter,hidden_mode_shift,0.6117,0.0170,0.3883,0.0170,0.0116,7,600
conformal_risk_filter,embodiment_shift,0.6157,0.0172,0.3843,0.0172,0.0201,7,600
conformal_risk_filter,combined_stress,0.5688,0.0170,0.4312,0.0170,0.0184,7,600
proposed_branch_mechanism,nominal,0.7512,0.0107,0.2488,0.0107,0.0148,7,600
proposed_branch_mechanism,hidden_mode_shift,0.6845,0.0196,0.3155,0.0196,0.0157,7,600
proposed_branch_mechanism,embodiment_shift,0.6948,0.0110,0.3052,0.0110,0.0089,7,600
proposed_branch_mechanism,combined_stress,0.6721,0.0165,0.3279,0.0165,0.0183,7,600
oracle_branch_upper_bound,nominal,0.8086,0.0081,0.1914,0.0081,0.0095,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7662,0.0200,0.2338,0.0200,0.0178,7,600
oracle_branch_upper_bound,embodiment_shift,0.7767,0.0114,0.2233,0.0114,0.0073,7,600
oracle_branch_upper_bound,combined_stress,0.7571,0.0105,0.2429,0.0105,0.0157,7,600
