variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.6033,0.3967,0.0088
observed_only_behavior_clone,nominal,1,600,0.5633,0.4367,0.0179
observed_only_behavior_clone,nominal,2,600,0.5933,0.4067,0.0042
observed_only_behavior_clone,nominal,3,600,0.5767,0.4233,0.0200
observed_only_behavior_clone,nominal,4,600,0.5933,0.4067,0.0073
observed_only_behavior_clone,nominal,5,600,0.5700,0.4300,0.0114
observed_only_behavior_clone,nominal,6,600,0.6150,0.3850,0.0191
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4217,0.5783,0.0068
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4100,0.5900,0.0085
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4100,0.5900,0.0078
observed_only_behavior_clone,hidden_mode_shift,3,600,0.3967,0.6033,0.0203
observed_only_behavior_clone,hidden_mode_shift,4,600,0.3867,0.6133,0.0197
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3950,0.6050,0.0067
observed_only_behavior_clone,hidden_mode_shift,6,600,0.4400,0.5600,0.0238
observed_only_behavior_clone,embodiment_shift,0,600,0.4300,0.5700,0.0174
observed_only_behavior_clone,embodiment_shift,1,600,0.4467,0.5533,0.0125
observed_only_behavior_clone,embodiment_shift,2,600,0.5167,0.4833,0.0662
observed_only_behavior_clone,embodiment_shift,3,600,0.4433,0.5567,0.0063
observed_only_behavior_clone,embodiment_shift,4,600,0.4517,0.5483,0.0127
observed_only_behavior_clone,embodiment_shift,5,600,0.3883,0.6117,0.0460
observed_only_behavior_clone,embodiment_shift,6,600,0.4750,0.5250,0.0262
observed_only_behavior_clone,combined_stress,0,600,0.3450,0.6550,0.0152
observed_only_behavior_clone,combined_stress,1,600,0.3450,0.6550,0.0285
observed_only_behavior_clone,combined_stress,2,600,0.3200,0.6800,0.0128
observed_only_behavior_clone,combined_stress,3,600,0.3350,0.6650,0.0030
observed_only_behavior_clone,combined_stress,4,600,0.3017,0.6983,0.0197
observed_only_behavior_clone,combined_stress,5,600,0.3117,0.6883,0.0050
