split,method,episodes,sequential_success,sequential_success_ci95,immediate_success,future_success,combined_energy_mean,combined_energy_ci95,affordance_debt_mean,tail_future_debt_mean,future_support_margin_mean,balance_failure_rate,unique_first_postures
combined_shift,bar_mpc_no_online,192,0.7812,0.0586,0.9219,0.8490,0.3025,0.0138,0.0531,0.0710,0.0737,0.0000,12
combined_shift,bar_mpc_v5,192,0.7812,0.0586,0.9219,0.8490,0.3025,0.0138,0.0531,0.0710,0.0737,0.0000,12
combined_shift,current_target_only_greedy,192,0.7812,0.0586,0.9271,0.8438,0.3029,0.0139,0.0000,0.0713,0.0716,0.0000,12
combined_shift,mean_future_only,192,0.7760,0.0591,0.9219,0.8438,0.3024,0.0139,0.0532,0.0711,0.0733,0.0000,12
combined_shift,no_balance_margin,192,0.7812,0.0586,0.9271,0.8438,0.3029,0.0138,0.0523,0.0711,0.0731,0.0000,12
combined_shift,no_future_debt,192,0.7760,0.0591,0.9219,0.8438,0.3022,0.0139,0.0000,0.0712,0.0729,0.0000,12
combined_shift,no_hand_switch_cost,192,0.7812,0.0586,0.9219,0.8490,0.3026,0.0138,0.0392,0.0710,0.0736,0.0000,12
combined_shift,no_recovery_cost,192,0.7760,0.0591,0.9219,0.8438,0.3023,0.0139,0.0204,0.0711,0.0731,0.0000,12
combined_shift,no_tail_debt,192,0.7760,0.0591,0.9219,0.8438,0.3024,0.0139,0.0532,0.0711,0.0733,0.0000,12
combined_shift,no_torque_comfort,192,0.7760,0.0591,0.9219,0.8438,0.3018,0.0139,0.0532,0.0711,0.0726,0.0000,12
combined_shift,oracle_two_step_mpc,192,0.8125,0.0554,0.9167,0.8906,0.2949,0.0137,0.0000,0.0713,0.0667,0.0000,12
combined_shift,robust_balance_mpc,192,0.7760,0.0591,0.9219,0.8438,0.3021,0.0139,0.0000,0.0712,0.0730,0.0000,12
combined_shift,small_future_sample,192,0.7812,0.0586,0.9219,0.8490,0.3025,0.0138,0.0524,0.0710,0.0737,0.0000,12
opposite_side_sequence,bar_mpc_no_online,192,0.1458,0.0501,0.6250,0.2344,0.5161,0.0127,0.0921,0.1114,0.0602,0.0000,3
opposite_side_sequence,bar_mpc_v5,192,0.1458,0.0501,0.6250,0.2344,0.5161,0.0127,0.0921,0.1114,0.0602,0.0000,3
opposite_side_sequence,current_target_only_greedy,192,0.1354,0.0485,0.6302,0.2240,0.5189,0.0129,0.0000,0.1117,0.0555,0.0000,3
opposite_side_sequence,mean_future_only,192,0.1458,0.0501,0.6250,0.2344,0.5164,0.0127,0.0922,0.1115,0.0596,0.0000,3
opposite_side_sequence,no_balance_margin,192,0.1406,0.0493,0.6302,0.2292,0.5174,0.0128,0.0907,0.1116,0.0576,0.0000,3
opposite_side_sequence,no_future_debt,192,0.1458,0.0501,0.6250,0.2344,0.5166,0.0127,0.0000,0.1115,0.0593,0.0000,3
opposite_side_sequence,no_hand_switch_cost,192,0.1458,0.0501,0.6198,0.2344,0.5159,0.0127,0.0621,0.1114,0.0603,0.0000,3
opposite_side_sequence,no_recovery_cost,192,0.1458,0.0501,0.6250,0.2344,0.5166,0.0127,0.0471,0.1115,0.0594,0.0000,3
opposite_side_sequence,no_tail_debt,192,0.1458,0.0501,0.6250,0.2344,0.5164,0.0127,0.0922,0.1115,0.0596,0.0000,3
opposite_side_sequence,no_torque_comfort,192,0.1458,0.0501,0.6250,0.2344,0.5169,0.0128,0.0923,0.1115,0.0585,0.0000,3
opposite_side_sequence,oracle_two_step_mpc,192,0.1667,0.0529,0.5677,0.3021,0.5119,0.0127,0.0000,0.1102,0.0677,0.0000,9
opposite_side_sequence,robust_balance_mpc,192,0.1458,0.0501,0.6198,0.2344,0.5164,0.0127,0.0000,0.1115,0.0597,0.0000,3
opposite_side_sequence,small_future_sample,192,0.1458,0.0501,0.6198,0.2344,0.5160,0.0127,0.0942,0.1114,0.0601,0.0000,3
