split,method,episodes,sequential_success,sequential_success_ci95,immediate_success,future_success,combined_energy_mean,combined_energy_ci95,affordance_debt_mean,tail_future_debt_mean,future_support_margin_mean,balance_failure_rate,unique_first_postures
combined_shift,arm_only_reach,192,0.6979,0.0651,0.8333,0.8542,0.3277,0.0150,0.0000,0.0694,0.0829,0.0000,1
combined_shift,bar_mpc_no_online,192,0.7812,0.0586,0.9219,0.8490,0.3025,0.0138,0.0531,0.0710,0.0737,0.0000,12
combined_shift,bar_mpc_v5,192,0.7812,0.0586,0.9219,0.8490,0.3025,0.0138,0.0531,0.0710,0.0737,0.0000,12
combined_shift,comfort_regularized_mpc,192,0.7812,0.0586,0.9271,0.8438,0.3026,0.0138,0.0000,0.0712,0.0726,0.0000,12
combined_shift,current_target_only_greedy,192,0.7812,0.0586,0.9271,0.8438,0.3029,0.0139,0.0000,0.0713,0.0716,0.0000,12
combined_shift,future_distribution_mpc,192,0.7812,0.0586,0.9271,0.8438,0.3027,0.0138,0.0532,0.0711,0.0730,0.0000,12
combined_shift,greedy_reach_mpc,192,0.7812,0.0586,0.9271,0.8438,0.3029,0.0139,0.0000,0.0713,0.0716,0.0000,12
combined_shift,learned_linear_debt_proxy,192,0.7812,0.0586,0.9219,0.8542,0.3024,0.0139,0.0518,0.0709,0.0752,0.0000,13
combined_shift,oracle_two_step_mpc,192,0.8125,0.0554,0.9167,0.8906,0.2949,0.0137,0.0000,0.0713,0.0667,0.0000,12
combined_shift,random_posture,192,0.5885,0.0698,0.6823,0.8854,0.4071,0.0273,0.0000,0.0698,0.0763,0.0000,16
combined_shift,robust_balance_mpc,192,0.7760,0.0591,0.9219,0.8438,0.3021,0.0139,0.0000,0.0712,0.0730,0.0000,12
high_lateral_payload,arm_only_reach,192,0.0729,0.0369,0.2708,0.4167,0.5691,0.0145,0.0000,0.1421,0.0676,0.0000,1
high_lateral_payload,bar_mpc_no_online,192,0.1042,0.0433,0.5156,0.2188,0.5586,0.0146,0.1156,0.1471,0.0428,0.0000,3
high_lateral_payload,bar_mpc_v5,192,0.1042,0.0433,0.5156,0.2188,0.5586,0.0146,0.1156,0.1471,0.0428,0.0000,3
high_lateral_payload,comfort_regularized_mpc,192,0.1042,0.0433,0.5365,0.2031,0.5603,0.0146,0.0000,0.1473,0.0380,0.0000,3
high_lateral_payload,current_target_only_greedy,192,0.1042,0.0433,0.5365,0.2031,0.5611,0.0146,0.0000,0.1473,0.0368,0.0000,2
high_lateral_payload,future_distribution_mpc,192,0.1042,0.0433,0.5365,0.2031,0.5605,0.0146,0.1158,0.1472,0.0376,0.0000,3
high_lateral_payload,greedy_reach_mpc,192,0.1042,0.0433,0.5365,0.2031,0.5611,0.0146,0.0000,0.1473,0.0368,0.0000,2
high_lateral_payload,learned_linear_debt_proxy,192,0.1094,0.0443,0.5208,0.2240,0.5587,0.0146,0.1120,0.1472,0.0414,0.0000,3
high_lateral_payload,oracle_two_step_mpc,192,0.1094,0.0443,0.4740,0.2969,0.5559,0.0146,0.0000,0.1458,0.0466,0.0000,8
high_lateral_payload,random_posture,192,0.0677,0.0356,0.2448,0.4115,0.6532,0.0266,0.0000,0.1370,0.0568,0.0000,16
high_lateral_payload,robust_balance_mpc,192,0.1042,0.0433,0.5052,0.2188,0.5583,0.0145,0.0000,0.1471,0.0444,0.0000,3
high_reach,arm_only_reach,192,0.9740,0.0226,0.9740,1.0000,0.2437,0.0102,0.0000,0.0451,0.1370,0.0000,1
high_reach,bar_mpc_no_online,192,1.0000,0.0000,1.0000,1.0000,0.2099,0.0091,0.0387,0.0498,0.1383,0.0000,9
high_reach,bar_mpc_v5,192,1.0000,0.0000,1.0000,1.0000,0.2099,0.0091,0.0387,0.0498,0.1383,0.0000,9
high_reach,comfort_regularized_mpc,192,1.0000,0.0000,1.0000,1.0000,0.2096,0.0091,0.0000,0.0503,0.1383,0.0000,9
high_reach,current_target_only_greedy,192,1.0000,0.0000,1.0000,1.0000,0.2100,0.0091,0.0000,0.0509,0.1378,0.0000,11
high_reach,future_distribution_mpc,192,1.0000,0.0000,1.0000,1.0000,0.2096,0.0091,0.0388,0.0499,0.1383,0.0000,9
high_reach,greedy_reach_mpc,192,1.0000,0.0000,1.0000,1.0000,0.2100,0.0091,0.0000,0.0509,0.1378,0.0000,11
high_reach,learned_linear_debt_proxy,192,1.0000,0.0000,1.0000,1.0000,0.2108,0.0091,0.0382,0.0494,0.1389,0.0000,9
high_reach,oracle_two_step_mpc,192,1.0000,0.0000,1.0000,1.0000,0.2073,0.0090,0.0000,0.0509,0.1351,0.0000,12
high_reach,random_posture,192,0.7031,0.0648,0.7031,1.0000,0.3274,0.0188,0.0000,0.0485,0.1315,0.0000,16
high_reach,robust_balance_mpc,192,1.0000,0.0000,1.0000,1.0000,0.2095,0.0090,0.0000,0.0503,0.1381,0.0000,9
lateral_reach,arm_only_reach,192,0.3542,0.0678,0.5104,0.6198,0.4587,0.0167,0.0000,0.0636,0.1273,0.0000,1
lateral_reach,bar_mpc_no_online,192,0.4479,0.0705,0.6719,0.6198,0.4287,0.0165,0.0523,0.0673,0.1285,0.0000,7
lateral_reach,bar_mpc_v5,192,0.4479,0.0705,0.6719,0.6198,0.4287,0.0165,0.0523,0.0673,0.1285,0.0000,7
lateral_reach,comfort_regularized_mpc,192,0.4531,0.0706,0.6771,0.6146,0.4287,0.0165,0.0000,0.0677,0.1280,0.0000,7
lateral_reach,current_target_only_greedy,192,0.4531,0.0706,0.6771,0.6146,0.4290,0.0165,0.0000,0.0680,0.1278,0.0000,8
lateral_reach,future_distribution_mpc,192,0.4479,0.0705,0.6719,0.6198,0.4287,0.0165,0.0523,0.0673,0.1285,0.0000,7
lateral_reach,greedy_reach_mpc,192,0.4531,0.0706,0.6771,0.6146,0.4290,0.0165,0.0000,0.0680,0.1278,0.0000,8
lateral_reach,learned_linear_debt_proxy,192,0.4479,0.0705,0.6615,0.6250,0.4303,0.0166,0.0514,0.0665,0.1284,0.0000,6
lateral_reach,oracle_two_step_mpc,192,0.4635,0.0707,0.6719,0.6406,0.4260,0.0165,0.0000,0.0676,0.1238,0.0000,7
lateral_reach,random_posture,192,0.2812,0.0638,0.3906,0.5990,0.5248,0.0238,0.0000,0.0664,0.1222,0.0000,16
lateral_reach,robust_balance_mpc,192,0.4531,0.0706,0.6771,0.6146,0.4288,0.0165,0.0000,0.0677,0.1281,0.0000,7
narrow_support,arm_only_reach,192,0.5052,0.0709,0.6979,0.7135,0.4052,0.0125,0.0000,0.0633,0.0847,0.0000,1
narrow_support,bar_mpc_no_online,192,0.5729,0.0702,0.7917,0.7188,0.3844,0.0130,0.0507,0.0664,0.0807,0.0000,10
narrow_support,bar_mpc_v5,192,0.5729,0.0702,0.7917,0.7188,0.3844,0.0130,0.0507,0.0664,0.0807,0.0000,10
narrow_support,comfort_regularized_mpc,192,0.5729,0.0702,0.7917,0.7188,0.3843,0.0130,0.0000,0.0666,0.0804,0.0000,10
narrow_support,current_target_only_greedy,192,0.5781,0.0700,0.7969,0.7188,0.3848,0.0130,0.0000,0.0670,0.0808,0.0000,10
narrow_support,future_distribution_mpc,192,0.5729,0.0702,0.7917,0.7188,0.3845,0.0130,0.0508,0.0664,0.0807,0.0000,10
narrow_support,greedy_reach_mpc,192,0.5781,0.0700,0.7969,0.7188,0.3848,0.0130,0.0000,0.0670,0.0808,0.0000,10
narrow_support,learned_linear_debt_proxy,192,0.5677,0.0703,0.7812,0.7188,0.3858,0.0130,0.0500,0.0657,0.0821,0.0000,10
narrow_support,oracle_two_step_mpc,192,0.5729,0.0702,0.7865,0.7240,0.3827,0.0130,0.0000,0.0670,0.0781,0.0000,10
narrow_support,random_posture,192,0.4062,0.0697,0.5417,0.6979,0.4599,0.0188,0.0000,0.0654,0.0809,0.0000,16
narrow_support,robust_balance_mpc,192,0.5729,0.0702,0.7917,0.7188,0.3843,0.0130,0.0000,0.0666,0.0808,0.0000,10
nominal,arm_only_reach,192,0.5000,0.0709,0.6250,0.7969,0.4118,0.0118,0.0000,0.0568,0.1476,0.0000,1
nominal,bar_mpc_no_online,192,0.5990,0.0695,0.7344,0.8177,0.3882,0.0117,0.0474,0.0606,0.1517,0.0000,6
nominal,bar_mpc_v5,192,0.5990,0.0695,0.7344,0.8177,0.3882,0.0117,0.0474,0.0606,0.1517,0.0000,6
nominal,comfort_regularized_mpc,192,0.5990,0.0695,0.7344,0.8177,0.3881,0.0117,0.0000,0.0610,0.1513,0.0000,7
nominal,current_target_only_greedy,192,0.6042,0.0694,0.7344,0.8229,0.3886,0.0118,0.0000,0.0617,0.1513,0.0000,7
nominal,future_distribution_mpc,192,0.5990,0.0695,0.7344,0.8177,0.3882,0.0117,0.0473,0.0606,0.1517,0.0000,6
nominal,greedy_reach_mpc,192,0.6042,0.0694,0.7344,0.8229,0.3886,0.0118,0.0000,0.0617,0.1513,0.0000,7
nominal,learned_linear_debt_proxy,192,0.5885,0.0698,0.7240,0.8125,0.3904,0.0118,0.0460,0.0595,0.1508,0.0000,6
nominal,oracle_two_step_mpc,192,0.6042,0.0694,0.7292,0.8281,0.3872,0.0117,0.0000,0.0616,0.1499,0.0000,5
nominal,random_posture,192,0.3125,0.0657,0.3958,0.7865,0.4792,0.0164,0.0000,0.0598,0.1439,0.0000,16
nominal,robust_balance_mpc,192,0.5990,0.0695,0.7344,0.8177,0.3881,0.0117,0.0000,0.0611,0.1513,0.0000,7
opposite_side_sequence,arm_only_reach,192,0.1771,0.0541,0.3698,0.4896,0.5266,0.0124,0.0000,0.1055,0.0747,0.0000,1
opposite_side_sequence,bar_mpc_no_online,192,0.1458,0.0501,0.6250,0.2344,0.5161,0.0127,0.0921,0.1114,0.0602,0.0000,3
opposite_side_sequence,bar_mpc_v5,192,0.1458,0.0501,0.6250,0.2344,0.5161,0.0127,0.0921,0.1114,0.0602,0.0000,3
opposite_side_sequence,comfort_regularized_mpc,192,0.1406,0.0493,0.6302,0.2292,0.5182,0.0129,0.0000,0.1117,0.0565,0.0000,3
opposite_side_sequence,current_target_only_greedy,192,0.1354,0.0485,0.6302,0.2240,0.5189,0.0129,0.0000,0.1117,0.0555,0.0000,3
opposite_side_sequence,future_distribution_mpc,192,0.1406,0.0493,0.6302,0.2292,0.5175,0.0128,0.0924,0.1116,0.0573,0.0000,3
opposite_side_sequence,greedy_reach_mpc,192,0.1354,0.0485,0.6302,0.2240,0.5189,0.0129,0.0000,0.1117,0.0555,0.0000,3
opposite_side_sequence,learned_linear_debt_proxy,192,0.1510,0.0508,0.6198,0.2448,0.5153,0.0127,0.0902,0.1113,0.0608,0.0000,3
opposite_side_sequence,oracle_two_step_mpc,192,0.1667,0.0529,0.5677,0.3021,0.5119,0.0127,0.0000,0.1102,0.0677,0.0000,9
opposite_side_sequence,random_posture,192,0.1198,0.0461,0.3490,0.4219,0.6260,0.0300,0.0000,0.1002,0.0644,0.0000,16
opposite_side_sequence,robust_balance_mpc,192,0.1458,0.0501,0.6198,0.2344,0.5164,0.0127,0.0000,0.1115,0.0597,0.0000,3
payload_shift,arm_only_reach,192,0.4844,0.0709,0.7188,0.7083,0.3865,0.0144,0.0000,0.0635,0.1255,0.0000,1
payload_shift,bar_mpc_no_online,192,0.5365,0.0707,0.7917,0.7031,0.3676,0.0146,0.0500,0.0661,0.1270,0.0000,10
payload_shift,bar_mpc_v5,192,0.5365,0.0707,0.7917,0.7031,0.3676,0.0146,0.0500,0.0661,0.1270,0.0000,10
payload_shift,comfort_regularized_mpc,192,0.5365,0.0707,0.7917,0.7031,0.3676,0.0145,0.0000,0.0664,0.1266,0.0000,11
payload_shift,current_target_only_greedy,192,0.5365,0.0707,0.7969,0.6927,0.3684,0.0145,0.0000,0.0669,0.1260,0.0000,11
payload_shift,future_distribution_mpc,192,0.5365,0.0707,0.7917,0.7031,0.3676,0.0146,0.0500,0.0661,0.1270,0.0000,10
payload_shift,greedy_reach_mpc,192,0.5365,0.0707,0.7969,0.6927,0.3684,0.0145,0.0000,0.0669,0.1260,0.0000,11
payload_shift,learned_linear_debt_proxy,192,0.5312,0.0708,0.7812,0.7083,0.3689,0.0146,0.0491,0.0654,0.1271,0.0000,10
payload_shift,oracle_two_step_mpc,192,0.5417,0.0707,0.7812,0.7188,0.3648,0.0146,0.0000,0.0666,0.1254,0.0000,13
payload_shift,random_posture,192,0.3542,0.0678,0.5260,0.7135,0.4562,0.0216,0.0000,0.0659,0.1219,0.0000,16
payload_shift,robust_balance_mpc,192,0.5312,0.0708,0.7917,0.6979,0.3677,0.0145,0.0000,0.0665,0.1264,0.0000,12
support_reversal,arm_only_reach,192,0.1979,0.0565,0.4635,0.3594,0.5154,0.0121,0.0000,0.0874,0.0677,0.0000,1
support_reversal,bar_mpc_no_online,192,0.1771,0.0541,0.7292,0.2656,0.4889,0.0128,0.0709,0.0902,0.0604,0.0000,4
support_reversal,bar_mpc_v5,192,0.1771,0.0541,0.7292,0.2656,0.4889,0.0128,0.0709,0.0902,0.0604,0.0000,4
support_reversal,comfort_regularized_mpc,192,0.1667,0.0529,0.7552,0.2448,0.4916,0.0129,0.0000,0.0909,0.0532,0.0000,3
support_reversal,current_target_only_greedy,192,0.1667,0.0529,0.7552,0.2448,0.4926,0.0130,0.0000,0.0910,0.0518,0.0000,3
support_reversal,future_distribution_mpc,192,0.1667,0.0529,0.7552,0.2448,0.4912,0.0129,0.0715,0.0909,0.0536,0.0000,3
support_reversal,greedy_reach_mpc,192,0.1667,0.0529,0.7552,0.2448,0.4926,0.0130,0.0000,0.0910,0.0518,0.0000,3
support_reversal,learned_linear_debt_proxy,192,0.1719,0.0535,0.7448,0.2552,0.4894,0.0127,0.0691,0.0904,0.0583,0.0000,5
support_reversal,oracle_two_step_mpc,192,0.1875,0.0554,0.6771,0.3281,0.4840,0.0127,0.0000,0.0900,0.0541,0.0000,11
support_reversal,random_posture,192,0.1458,0.0501,0.3906,0.3385,0.6078,0.0288,0.0000,0.0866,0.0593,0.0000,16
support_reversal,robust_balance_mpc,192,0.1771,0.0541,0.7240,0.2656,0.4887,0.0127,0.0000,0.0901,0.0617,0.0000,3
weak_actuation,arm_only_reach,192,0.5469,0.0706,0.6771,0.8021,0.3725,0.0136,0.0000,0.0575,0.1325,0.0000,1
weak_actuation,bar_mpc_no_online,192,0.5990,0.0695,0.7448,0.8021,0.3561,0.0138,0.0452,0.0595,0.1355,0.0000,11
weak_actuation,bar_mpc_v5,192,0.5990,0.0695,0.7448,0.8021,0.3561,0.0138,0.0452,0.0595,0.1355,0.0000,11
weak_actuation,comfort_regularized_mpc,192,0.6094,0.0692,0.7552,0.8021,0.3559,0.0138,0.0000,0.0598,0.1353,0.0000,11
weak_actuation,current_target_only_greedy,192,0.6094,0.0692,0.7552,0.8021,0.3566,0.0137,0.0000,0.0600,0.1352,0.0000,12
weak_actuation,future_distribution_mpc,192,0.5990,0.0695,0.7448,0.8021,0.3562,0.0138,0.0452,0.0596,0.1354,0.0000,11
weak_actuation,greedy_reach_mpc,192,0.6094,0.0692,0.7552,0.8021,0.3566,0.0137,0.0000,0.0600,0.1352,0.0000,12
weak_actuation,learned_linear_debt_proxy,192,0.5885,0.0698,0.7292,0.8073,0.3577,0.0139,0.0444,0.0589,0.1347,0.0000,10
weak_actuation,oracle_two_step_mpc,192,0.5938,0.0697,0.7292,0.8281,0.3518,0.0138,0.0000,0.0598,0.1344,0.0000,11
weak_actuation,random_posture,192,0.4062,0.0697,0.5000,0.7969,0.4319,0.0197,0.0000,0.0589,0.1264,0.0000,16
weak_actuation,robust_balance_mpc,192,0.6094,0.0692,0.7552,0.8021,0.3560,0.0138,0.0000,0.0599,0.1354,0.0000,11
